,DATUM,EMITTENT,TYP,ART DER RECHTE,GESAMTZAHL DER RECHTE,WERT,DETAILS
2,29.05.2020,Alpine Select AG,Veräusserung,Namenaktien,71,880.40,
3,29.05.2020,Alpine Select AG,Erwerb,Namenaktien,10500,129700.00,
4,29.05.2020,Galenica AG,Veräusserung,Namenaktien,3000,210434.00,
5,29.05.2020,Intershop Holding AG,Veräusserung,Namenaktien,205,108746.00,
6,28.05.2020,Alpine Select AG,Veräusserung,Namenaktien,60,744.00,
7,28.05.2020,Alpine Select AG,Erwerb,Namenaktien,13081,160896.30,
8,28.05.2020,EFG International,Erwerb,Namenaktien,444716,2758049.00,
9,28.05.2020,Gurit Holding AG,Veräusserung,Inhaberaktien,50,70340.00,
10,28.05.2020,HBM Healthcare Investments AG,Veräusserung,Andere Titel,1580,387675.00,
11,28.05.2020,Intershop Holding AG,Veräusserung,Namenaktien,95,50363.00,
12,28.05.2020,Kühne + Nagel International AG,Veräusserung,Namenaktien,5000,705000.00,
13,28.05.2020,Kühne + Nagel International AG,Veräusserung,Namenaktien,2500,351250.00,
14,28.05.2020,Pargesa Holding SA,Veräusserung,Inhaberaktien,1000,73300.00,
15,28.05.2020,Schindler Holding AG,Veräusserung,Namenaktien,7718,1700171.30,
16,28.05.2020,Sonova Holding AG,Veräusserung,Namenaktien,11182,819812.75,
17,28.05.2020,Sunrise Communications Group AG,Veräusserung,Namenaktien,13000,1053000.00,
18,28.05.2020,UBS Group AG,Veräusserung,Namenaktien,180000,1890900.20,
19,28.05.2020,nebag ag,Erwerb,Namenaktien,3611,32156.68,
20,27.05.2020,Alpine Select AG,Erwerb,Namenaktien,15000,184500.00,
21,27.05.2020,Calida Holding AG,Veräusserung,Namenaktien,93,2697.00,
24,27.05.2020,EFG International,Erwerb,Namenaktien,227146,1374386.00,
25,27.05.2020,Feintool International Holding AG,Veräusserung,Namenaktien,1700,76500.00,
26,27.05.2020,INFICON Holding AG,Veräusserung,Namenaktien,1,750.00,
27,27.05.2020,LEM Holding SA,Erwerb,Namenaktien,100,129804.00,
28,27.05.2020,Pargesa Holding SA,Veräusserung,Inhaberaktien,4000,287827.90,
29,27.05.2020,Pargesa Holding SA,Erwerb,Inhaberaktien,1370,89050.00,
30,27.05.2020,Pargesa Holding SA,Erwerb,Inhaberaktien,1000,60600.00,
31,27.05.2020,Roche Holding AG,Erwerb,Inhaberaktien,600,203880.00,
32,27.05.2020,Schindler Holding AG,Veräusserung,Namenaktien,15845,3511403.00,
33,27.05.2020,Sonova Holding AG,Erwerb,Namenaktien,100,20500.00,
34,27.05.2020,Stadler Rail AG,Veräusserung,Namenaktien,4500,177778.08,
35,27.05.2020,Vontobel Holding AG,Veräusserung,Namenaktien,8750,500042.16,
36,26.05.2020,Alpine Select AG,Veräusserung,Namenaktien,1357,16826.80,
37,26.05.2020,Alpine Select AG,Erwerb,Namenaktien,10000,123000.00,
38,26.05.2020,EFG International,Erwerb,Namenaktien,162049,948374.00,
39,26.05.2020,Elma Electronic AG,Erwerb,Namenaktien,50,22100.00,
40,26.05.2020,HIAG Immobilien Holding AG,Erwerb,Namenaktien,48,4318.94,
41,26.05.2020,HIAG Immobilien Holding AG,Erwerb,Namenaktien,48,4318.94,
